"name","numberOfGuests","roomType","stars"
"Rose Fort Homestay","6","Private room in rental unit","5"
"Sunflowers Canada House, Entire Upper Floor","7","Entire home","5"
"AJR - Sivaston Guest and Function Hall","9","Entire townhouse",
"Delft beachfront Villa","2","Private room in bed and breakfast",
"Cheerful 4-Bedroom bungalow in Velanai","10","Entire bungalow",
"Welcoming village 1-bedroom bed and breakfast .","2","Private room in bed and breakfast",
"D'Villa Guest House","2","Private room in guesthouse","4.73"
"Sunnyville","8","Entire bungalow",
"Most Spacious, Luxurious கனி Guest Suite in VVT","10","Entire guest suite","4"
"Vacation Villa in Jaffna","10","Entire home",
"Jeyamani Villa","6","Entire home","4.67"
"AY Eternity Villa with nature all seasons","4","Entire home",
"Neems Paradise guesthouse","4","Entire home",
"Farmhouse in Jaffna District","2","Private room in farm stay",
"Sunflowers Canada House,  Montreal Room","2","Private room in home","5"
"Raja Nada Thiru's Villa","8","Entire bungalow",
"A Stunning, Newly Built 3-Bedroom Property to Rent","5","Entire home",
"Nature Paradise","4","Entire home",
"Sivakunjarapavanam, Keerimalai, Jaffna, Sri Lanka","5","Private room in home","4.07"
"Villa Bolgoda","10","Entire villa","4.9"
"Magical Tented Lodge in Yala- Thissamaharamaya","6","Entire chalet",
"Family Room at Beach & Bliss Mirissa 301","4","Room in hotel",
"Senthu Guest House","8","Entire home",
"Deluxe Double @Grand Ray Hotel","2","Room in boutique hotel",
"The Anam Hostel","14","Entire villa",
"Orange Bedroom","2","Private room in home","4.76"
"Pink Bedroom","2","Private room in home","4.82"
"Charming One bed Room at Beach & Bliss Mirissa 101","2","Room in hotel",
"Green Bedroom","2","Private room in home","4.67"
"""Mathura"" Home/ Double room D for rental in Jaffna","2","Private room in home",
"Hikkaduwa Beach","2","Private room in bed and breakfast",
"Luxury Villa by The Beach, Mirissa","13","Entire villa",
"Oxy breeze ella - Stay with nature Room 1","2","Private room in nature lodge","4.84"
"Private Rooms in Ella","2","Room in hotel","5"
"3BR Oasis: Remote Work Condo with Gourmet Kitchen","5","Entire serviced apartment","4.78"
"Good Lake Views","16","Entire guesthouse",
"Mayurana Villa Koggala","12","Entire home",
"All Rooms - Room `102 - Room 115","16","Private room in resort",
"Beacon By The Bay - Luxury Villa","15","Entire villa",
"Olcote in Ceylon","16","Entire home",
"Charming 6 Bedroom Boutique Hotel With Pool","14","Room in boutique hotel",
"Within 5 minutes u can go to the mt.lavinia beach","3","Private room in casa particular",
"The Salty Pelican - HIRIKETIYA - Entire Retreat","16","Entire villa",
"Leopard Glamping","3","Tent",
"The Frangipani Tree by Edwards Collection","16","Room in boutique hotel",
"Ishq Talpe","14","Entire villa",
"Four Bedroom Private Villa with Pool","8","Entire villa",
"Fully-Equipped Luxury Yacht with Full Board Meals","10","Boat",
"Perfect Beach Villa Unawatuna","16","Entire home",
"Leopard Glamping","5","Tent",
"Pinthaliya Resort & Spa, Sigiriya","16","Room in resort",
"The Alfred Digana","12","Entire home",
"5 bedroom Luxury Villa With Pool Close to Beach","12","Entire villa",
"Villa Mawella","10","Entire home",
"Ishq Colombo - City Oasis","8","Entire villa",
"Ishq Talpe - Beachfront Escape","14","Entire villa",
"11 AC Bedroom Villa - Sleeps 22, Beach front, Pool","16","Entire villa","4.5"
"Leopard Glamping","4","Tent",
