"name","numberOfGuests","roomType","stars"
"W1 ella resort","6","Room in hotel","4.27"
"Beautiful Villa with stunning Garden Access","6","Private room in villa",
"Deluxe Family Room  4 guests & free late check out","4","Room in boutique hotel",
"Deluxe Rooms At Boutique Beach Resort","16","Room in boutique hotel",
"Ocean Breeze Beachfront R7B16","2","Private room in rental unit",
"Heaven villa","8","Entire home",
"Arushi Luxury Residence","5","Entire rental unit","5"
"Hemica Surf Room 02","2","Private room in guesthouse",
"Modern Elegance in Malabe","6","Entire rental unit",
"Hilltop Garden - Bungalow","2","Entire villa",
"The Drop In Madiha I Room 2","2","Private room in home",
"Apartment second floor room02-03","4","Private room in condo",
"Knuckles View Holiday Home","15","Entire home",
"MICHS Beach Villa - Maggona,Sri Lanka.","4","Entire villa",
"Villa Dominikku (Sleep Yellow)","2","Private room in villa","4.89"
"Nice house for rent in Talpe","5","Entire rental unit",
"The Tree House","9","Private room in treehouse","4.41"
"Blue Beach Galle Deluxe Suite","2","Room in hotel",
"Kandy Shady Trees Villa","2","Private room in home","4.59"
"Palm Room At Jasper House","3","Room in boutique hotel","4.67"
"118 Premium Family Suite | Premium","4","Room in boutique hotel",
"Square Peg (Nomads)","2","Private room in guest suite",
"Igabara Hobbit House","2","Hut",
"Villa in Katunayake","6","Entire home",
"Danwala Bungalow","8","Entire bungalow",
"Chalet 04","2","Private room in bed and breakfast","4.67"
"Lover's Leap Private Bungalow","7","Private room in bungalow",
"Hyde park Residency Colombo 2
10% off","6","Entire rental unit","4.5"
"Nine Arch Holiday Resort, Ella","11","Room in hotel",
"Deluxe suite room in Fairway Colombo","2","Room in hotel",
"Deluxe Family Room In Galle Fort","4","Private room in villa",
"20 Room hotel close to Yala park","4","Room in hotel",
"Gura Villa","4","Private room in rental unit",
"Only one room and restaurant.","3","Private room in bed and breakfast",
"Luxury Home Stay","12","Entire home",
"Footprints ~ off-grid surfer's paradise +breakfast","3","Private room in cabin",
"Villa South- Triple room, breakfast included","3","Private room in bed and breakfast",
"Condo in Colombo 13","6","Entire rental unit",
"Galway Heights Hotel - Nuwara Eliya","16","Room in hotel",
"Luxury private apartment in the centre of Colombo","6","Entire rental unit","4.5"
"The Edge Luxury Apartment","4","Entire serviced apartment","4.38"
"Villa Sea Spray.","6","Private room in guesthouse",
"""Your Perfect Airbnb Getaway""","8","Private room in home",
"The Paramount @ 988 - Colombo","2","Entire home","4.67"
"The Cottage by Jetwing","2","Private room in bed and breakfast",
"Windy Villa Hanthana","10","Entire home",
"Ahangama Surf Villa e piscina jacuzzi-Yellow room","4","Private room in villa",
"Lovely 2 bedroom condo at Havelock City","4","Entire condo","4.86"
"Lotus villa part of Blackpool","4","Entire condo",
"Deluxe Double Room With Knuckles Mountain view","2","Private room in bed and breakfast",
"Lighthouse Guest - Galle Fort - Room for 3","4","Private room in guesthouse","4.82"
"Erabadu - Bay Villas Balapitiya","2","Room in boutique hotel",
"Home like No Other...Robinhill","4","Private room in villa","4.64"
"Miridiya Lake Deluxe Twin Room","2","Room in hotel",
"Poya Villa-Beachfront B&B | King room garden view","2","Private room in bed and breakfast",
"A  villa in Nuwara Eliya, Sri Lanka","6","Entire guesthouse","4.84"
"Suite Room with River Tub No 02","2","Entire rental unit",
"Bungalow Living with Home Cook, 7 Guests.","7","Entire bungalow",
"Standard Double Room with free Bicycle Ride","2","Room in boutique hotel",
"Mayfair","2","Entire guest suite",
"Life Ayurveda Resort","2","Private room in guesthouse",
"Relax Cottage mount(360° family)","4","Private room in bed and breakfast",
"Mothers' Place, 3 BR /3 bath Ocean Front Apartment","6","Entire guest suite","4.6"
"Deluxe Double Jungle View","2","Room in hotel",
"Perfect Hideout","2","Entire home",
"Sea Yo Villa-4-Bedrooms Villa in Hikkaduwa","8","Entire villa",
"Turtle Bay Lodge - Beach Front Villa","4","Entire villa","4.64"
"Araliya Pool House - Hikkaduwa","7","Entire guesthouse",
"Lovely 3BR apartment with pool and gym in Colombo","6","Entire rental unit",
"Villa Retreate","2","Entire home",
"Paradise Residence","4","Entire rental unit",
"Barefoot Beach House","4","Entire villa",
"Three  Bed Room Deluxe Suite","4","Entire guest suite",
"3 AC Double rooms with beach and ocean views","6","Entire guesthouse",
"Seafront family villa Dikwella","4","Private room in casa particular",
"Cabin 01","5","Entire cabin",
"Kleiner Bungalow im Palmengarten direkt am Strand","4","Entire bungalow",
"Spacious 4-bedroom house with AC","4","Entire home",
"365 Moodz Residence","4","Entire home",
"Luxury suite with sea view","4","Private room in bed and breakfast",
"Tucked Away Jewel","2","Entire vacation home",
"Badua‘s Paradise- Villa and Pool, WIFI, AC","6","Entire villa",
"LÚSH Ayurveda Villa","6","Private room in nature lodge",
"Twin room-Deluxe-Ensuite with Shower-Sea view","3","Private room in villa",
"Mandala Villas 5","2","Entire villa",
"Cozy apartment for short or long term stay","3","Entire rental unit",
"Traum Villa Bentota -  Bungalow 1","2","Private room in bed and breakfast","4.33"
"Room 108 - Double Room","2","Private room in bed and breakfast",
"Paddyway Triple Deluxe","3","Room in hotel",
"High Park Hotel","2","Private room in bed and breakfast","4.67"
"Villa Diyathra","8","Entire bungalow","4.88"
"Stunning Sea View Room with Direct Beach Access","2","Room in boutique hotel",
"Aadaraya Colombo 7","4","Entire rental unit",
"Dream Garden - Large Deluxe Family AC Studio","4","Room in boutique hotel",
"Superior King ROOM04","2","Room in hotel",
"Ella Treehouse, double duplex","11","Private room in treehouse","4.8"
"The Kandyan Manor - Green Room","2","Private room in home",
"Entire Villa-Namara Green Ella","8","Room in hotel",
"Dadalu villa","4","Private room in villa",
"Villa 38 Padukka, 4bed rooms in Colombo district","8","Entire villa",
"Palabaddala Tea and Eco Lodge","16","Room in hotel","4.8"
"Poya Villa - Beachfront B&B | King room sea view","2","Private room in bed and breakfast",
"Silver Sign hotel and gem gallery.","4","Room in boutique hotel",
"Caca's Cozy Crib - Ensuite 2","2","Private room in rental unit",
"2 Bedroom Villa","5","Entire villa",
"Hikkaduwa's Chill Hill: Natural Beauty Apartments","2","Room in hotel",
"Cozy Ensuite Room, Few step to Beach/Surf Weligama","2","Private room in villa",
"Kuda Gads Villa","2","Entire guesthouse",
"Nathu Rest","7","Entire home",
"Wild Cassia","4","Entire cabin",
"Lotus Eco Villa Tree House","2","Private room in nature lodge","4.47"
"Ratnakara Cottage","4","Entire home",
"Shangri-Lanka Village bungalows, Tissamaharama","9","Entire villa","4.83"
"Cheer Holiday Apartments | First Floor","10","Entire rental unit",
"Unawatuna Villa Orchid Apartment With Garden View","3","Entire rental unit",
"A modern suite with a gym & pool","6","Entire rental unit","5"
"Traum Villa Bentota -  Suite","2","Room in bed and breakfast",
"Casa Mira Boutique Villa - Blue Ocean Room","2","Private room in bed and breakfast",
"Camarin Residence - Superior Triple Room","3","Private room in bed and breakfast",
"Silver sign hotel and gem gallery. Suburban style.","4","Room in boutique hotel",
"Riverside Retreat Kandy","6","Entire home",
"Double Room with Patio • Hikkaduwa","2","Entire home",
"Suite with lake & mountain view","2","Private room in guesthouse",
"Cozy Family room Surf Midigama","4","Room in hotel",
"Temple Pond Villa - Luxury Triple Room","3","Private room in villa","5"
"Nuwara Eliya Holiday Bungalow - entire house","6","Entire home","4.64"
"Yala - Your Private Getaway","2","Entire rental unit",
"private villa with pool and new fiber internet","4","Entire villa","4.5"
"AMMA Boutique Hotel R/6","2","Room in hotel",
"Highbury Colombo - Suite Apartment","5","Private room in villa","4.63"
"Stylish 3-bdr ocean view apt.","6","Entire rental unit",
"Room 105 - Triple Room","2","Room in hotel",
"Shalom Cottage","12","Private room in bed and breakfast","5"
"Mariner’s Beach Villa","8","Entire villa",
"Sigiri Dilu Vila B & B","7","Private room in villa",
"AMMA Boutique Hotel R/7","2","Room in hotel",
"Beach Front,  Garden View Room - Solas Surf","3","Private room in bed and breakfast",
"Peaceful 2 bedroom apartment with 2 bathrooms","5","Entire home",
"Green Room (LaLa Villa)","2","Private room in home",
"Twenty Two Dazzle Bay","3","Room in hotel",
"RH3 Family Room for 4 at Katunayake","4","Private room in home",
"New Summer Vacation (Two)","2","Entire rental unit",
"Mount Rest Villa","2","Entire home",
"Bee Line - Blue View","3","Private room in rental unit",
"Araliya Villa","6","Entire home",
"OLU AYURVEDA BEACH RESORT - Standard Double Room","2","Private room in bed and breakfast",
"AMFA Apartment","5","Entire rental unit",
"Orange Room","2","Room in hotel",
"Kirindi Haven Guesthouse","4","Entire home",
"Heights Retreat - Galle - Room 2","2","Private room in home",
"studıo delux","2","Entire rental unit",
"Arabella on Boossa King room with mezzanine lounge","2","Room in boutique hotel",
"Vidushi Home","12","Private room in villa",
"Binara Home Stay (Tourist Lodge)","9","Private room in home","4.73"
"*FEMALE ONLY SHARED ROOM - Yoga & Surf, HIRIKETIYA","16","Shared room in boutique hotel","4.5"
"Neverbeen to Sigiri Sky Treehouse | Entire Chalet","4","Treehouse","5"
"ASK Homestay (With free Heating Facilities)","2","Private room in home","4.49"
"Isana Beach House Room 3 Nami","2","Private room in bed and breakfast","4.5"
"Hotel Southern Blue Sapphire Deluxe Double Room 6","2","Room in hotel",
"Family Suite","4","Private room in resort",
"Beautifully furnished cozy bedroom with two beds","4","Private room in villa","4.67"
"SAGA  HOME spacious family room","4","Private room in townhouse","4.75"
"Ella Rock Lands'","4","Private room in bed and breakfast","5"
"Colpetty House - Sky Penthouse","2","Casa particular","4.5"
"Garden Chalet Two","4","Private room in bungalow",
"Lovely & calm vacation home in Galle","2","Entire vacation home",
"Kevzz -  A luxury Villa","6","Entire home",
"SC Galle with Pool / GZ 1","2","Private room in bed and breakfast","4.58"
"beach_TRIGON 1 / tinyhouse / co_living","2","Entire home",
"Golfers' Paradise Kahathuduwa.","4","Private room in rental unit",
"New Green View","2","Private room in guesthouse","5"
"Kuwera Kandy","2","Room in hotel",
"Wind Blend Lagoon Cabana","2","Private room in cabin",
"villa 58 unawatuna.","5","Entire rental unit",
"Kayjay Beach front","1","Room in hotel",
"Happy Stay Cottage","6","Entire guesthouse",
"Luxury apartment in Colombo 07","10","Entire condo","5"
"Villa Lotus in hikkaduwa (25% discount)","2","Private room in villa",
"Spacious 3 BR villa near Hikkaduwa beach paradise","6","Entire villa",
"Standard Double room in MOI Ella by DBI","2","Room in hotel",
"FICUS CANOPY - TREEHOUSE KANDY","2","Treehouse","5"
"Cozy 2 BR Villa with Ayurveda near Tangalle","6","Private room in nature lodge","4.57"
"Daffon Villa Guest House","13","Private room in villa","4.79"
"DONA 26 situated at Digana","4","Entire home",
"AC Apartment with bathroom & Pantry","2","Entire rental unit","5"
"Bella Nilaveli Beach","4","Private room in bed and breakfast","4.57"
"Villa Eden Paradise","5","Private room in villa","4.69"
"La monatagna Resort -comfortable  mount view rooms","2","Private room in guesthouse",
"Truely a Beach Home Away from Home","6","Entire condo","4.7"
"Monsoon eco resort -Sunset cabana","4","Entire cabin",
"The Coconut Tree Villa","6","Entire villa","4.67"
"Capital TRUST Residencies Colombo 05","6","Entire condo",
"Charming 2 storey garden villa","4","Entire villa","4.81"
"Bouncer's Place
Chiara / 2 apartment house","2","Entire home","5"
"Sri Lankan yoga and Accommodation in Hostel.","2","Room in serviced apartment",
"Knuckles Misty Holiday Bungalow","4","Room in boutique hotel",
"VV - Double deluxe 1","2","Private room in guesthouse",
"A 4 bedroom villa nestled in the hills of Galaha","10","Entire villa",
"Vibrations Villas - Deluxe Double Room (2)","2","Private room in guesthouse",
"SAGAHOME R.10 Large Rm, private balcony & bathroom","2","Private room in home","5"
"Chanya Luxury Apartment, S1, Lake View Residencies","6","Entire rental unit",
"Skyscraper apartment with pool","6","Entire rental unit",
"Nagenahira Beach Villas  The Tamarind Tree Suite","2","Private room in bed and breakfast",
"Standard Double Room","2","Entire home","4.63"
"unique and beautiful house","2","Private room in home",
"Sea view apartment for rent","5","Entire rental unit","4.33"
"Two Bedroom Apartment with a Pool","4","Entire rental unit","4.33"
"Misthill Rest - Deluxe Double Room - 205","2","Room in boutique hotel",
"Watergate-Bolgoda","2","Private room in resort",
"Chalet 07","2","Private room in bed and breakfast",
"Heros Villa Mirissa","10","Entire villa","4.94"
"Paper Moon Kudils - Restaurant Side","2","Room in hotel",
"Captain's Cottage at Yala","10","Entire vacation home",
"The Forest Villa and the waves wait for you!","2","Private room in guesthouse","4.64"
"Isanka lion lodge","9","Private room in home",
"Grandiose Fairway Apartment Galle","6","Entire condo","4.7"
"King Room with Mountain View","2","Room in hotel",
"Home in the heart of Arugambay","3","Tiny home",
"Villa 61 Wewaldeniya","6","Entire villa",
"Beach Club Apartments - Thal","3","Entire rental unit",
"Deluxe Villa With Garden View Double Bed & Breakfast","4","Room in boutique hotel",
"Garden Chalet One","4","Private room in guest suite",
"Green Leaves Mud Chalet","4","Entire bungalow","5"
"Holiday Apartment Galle, Richmond Hill Residencies","5","Entire rental unit",
"Lake View Serenity - Serendipity Lake","2","Private room in nature lodge",
"Lanka villa mirissa (private villa “6 bedrooms”)","13","Entire villa","5"
"Deluxe Double Room with Free late Check Out","2","Room in boutique hotel",
"Villa Mandala Colombo Amazing 4BR Villa","8","Entire home","4.9"
"Amarelo Residence","6","Entire villa",
"Arabella on Boossa Twin Room","2","Room in boutique hotel",
"Jasmine Villa Part of Blackpool","4","Entire rental unit",
"Tropical Garden Holiday Homes right on the beach","10","Entire villa","4.75"
"Makahiya Fitness, Core Room","2","Room in hotel",
"3BR Private Pool Premium Villa - Colombo","10","Entire home",
"Rainforest view room in Luxury Manor","3","Private room in home",
"1 BD luxury villa Galle private pool and jacuzzi","2","Entire home",
"One Bedroom Apartment","2","Private room in rental unit",
"Dream vacation","2","Barn",
"Superior Twin Deluxe at Seerock The King's Domain","2","Room in hotel",
"Freedom palace","10","Entire villa",
"stylish river front villa Madampe House","7","Entire home",
"Hidden Paradise","2","Entire vacation home",
"Budget Cozy Apartment Colombo","4","Entire rental unit",
"a beautiful bangalow in the hills","2","Private room in bed and breakfast",
"Sea Esta","6","Entire villa",
"Serendivi Resort Villa - Tangalle","2","Private room in home",
"Mandala Villas 1","2","Entire villa","4.67"
"Haldummulla Estate - the Library Suite","2","Entire chalet",
"Premium Deluxe Room at Seerock The King's Domain","2","Private room in resort",
"Charming couple bedroom with pool and garden view","2","Room in hotel",
"Villa Allunga","4","Entire villa","4.33"
"Nagenahira Beach Villas Ocean View Suite","2","Private room in bed and breakfast","4.5"
"""Sundari"" The Romantic Suite","2","Room in boutique hotel",
"Romance Sky 4","2","Private room in nature lodge","4.38"
"Comfortable and well located","2","Entire home",
"Orchid 2 Apartments","6","Entire rental unit","5"
"DCC Penthouse Apartment Double Bedroom","2","Private room in rental unit",
"Family room in the mountains near Kandy","4","Private room in bed and breakfast",
"Galle Fort Mango House Double Room With Courtyard3","2","Room in boutique hotel",
"Sweet Cinnamon Serenity","2","Room in boutique hotel",
"Executive Bungalow near Colombo Airport","8","Entire home","4.71"
"Tangalle Serenity Bungalow","8","Entire home",
"COCOYA","4","Entire bungalow","5"
"Villa Steps Away from the Beach","4","Entire home","4.67"
"DK Green Villa,Madiha Surf Point","2","Tiny home",
"Stay in Paradise- Wellawatta","4","Entire home",
"O2 Villas-Mirissa Two Double Rooms","4","Entire villa","5"
"Kalaniya River, Kalaniya temple , Leisure world","6","Entire rental unit",
"LankahutsVilla Rooms","2","Private room in home",
"Luxury Apartment  in Colombo","4","Entire rental unit",
"Stunning Beach Side Boutique Hotel Rooms","6","Room in hotel",
"Charming bedroom for 6 in Ibbagamuwa","6","Room in boutique hotel",
"Luxury Boutique Hotel In Unawatuna Near The Beach","16","Room in hotel","4.5"
"Beautiful Villa 
Colombo North, Pool, Airport","6","Private room in villa",
"Cozy Ensuite Room, Few step to Beach/Surf Weligama","2","Private room in villa",
"""OCEAN HOME"" Condo is located in the City of Galle","6","Entire condo","5"
"Arabella on Boossa King room, garden & sea views","2","Room in boutique hotel",
"Room 106 - Double Room","2","Room in hotel",
"3 Bedroom Villa","6","Entire villa","4"
"Glorious Nature Inn-Room 02","2","Private room in bed and breakfast",
"Tropical garden suite with AC","3","Room in bed and breakfast","4.94"
"COCOYA","2","Private room in bungalow","5"
"Villa 35F at Galle
Two large bedrooms & bathrooms","4","Entire villa","4.8"
"Double room-Deluxe-Ensuite with Shower-Sea view","3","Private room in villa",
"Capital TRUST Residencies Colombo 04","6","Entire rental unit",
"Silversand seaside transit hub","2","Entire home",
"Green Lake View Condo G8","5","Entire rental unit",
"PALM VILLA MIRISSA, AC room N21 for 5 ocean view","6","Room in boutique hotel","4.75"
"Mountain Top Glamping Suite with a Star Bed","4","Private room in tent",
"Oshi Villa close to turtle beach","4","Entire rental unit",
"Queensberry Room at Tea Library","2","Private room in bed and breakfast",
"Two bedroom pool villa with sea view","4","Entire villa",
"Villa Paradise Private room A/c beachfront","2","Private room in bed and breakfast","5"
"Home In the heart of Kurunegala City.","8","Entire home",
"Sarah Cottage - Ginger room","2","Private room in cottage","4.55"
"Water Front City Villa","9","Entire villa","5"
"""On Golden Mile"" by Swarg","6","Entire rental unit",
"Pivithuru River Cabanas -Full","6","Room in hotel",
"Village experience in private room with breakfast","2","Private room in guesthouse","5"
"Deluxe Rooms At Ilukketiya","4","Room in hotel",
"Nest Villa","6","Entire home",
"OASIA Family villa","9","Entire home",
"AMA VILLA FAMILY ROOM","4","Entire villa","4.86"
"Pedlar Street A/C twin in C17th villa with pool","2","Private room in home",
"Peacock Beach Resort & Spa - Double/Twin Room","2","Room in hotel",
"Beach Mount Apartment","6","Entire rental unit","4.52"
"Field View House Ahangama","2","Entire home","5"
"sajee place","4","Entire home",
"Adare Beach Villa 61, Private Luxury Rooms","2","Private room in villa",
"Deluxe Double - Free tuk to Galle fort, BB & AC","2","Private room in home",
"Luxury apartment with a view, Galle","4","Entire rental unit","4.83"
"Coconuts room / French Swallow villa / Ahangama","2","Private room in bed and breakfast","5"
"The Dale Mirissa, Deluxe Double Room","2","Private room in bed and breakfast",
"Rajadhani Rest ( THE KINGDOM) Anuradhapura","15","Private room in home","4.76"
"Voulez-Vous. Kids Friendly Garden Beach Style !","3","Room in hotel",
"Club Waskaduwa Beach Resort","2","Room in hotel",
"Deluxe King Suite with Balcony","2","Private room in bed and breakfast",
"Dunwatta House","6","Entire home",
"Glenrose.Private Room #2","2","Private room in villa",
"Lighthouse Guest - Colonial stay in Galle Fort","2","Private room in guesthouse","4.76"
"Sunnyside Luxury Home","2","Entire home",
"Easy access to more conveniences nawala","6","Entire rental unit","5"
"Breeze villa","6","Entire villa","4.45"
"New Summer Vacation (One)","2","Private room in guesthouse",
"Nayan's Paradise Sea Deluxe Room","2","Entire bungalow",
"Villa Toscana: Tranquil Retreat in Weligama","12","Entire home",
"Galle Vacation F2 ( Hot water shower )","2","Private room in home",
"Coastal Comfort - Villa Berlin","4","Entire guesthouse",
"Asiri Homestay","3","Private room in bed and breakfast",
"Still Waters-A Cottage byTheLake","4","Entire home",
"River side Guest & Travels new","2","Private room in home","4.57"
"Villa GOYA.m, Ap1","2","Private room in villa","5"
"Sigiri Chandi Homestay","5","Private room in guesthouse","4.95"
"Villa with private garden","8","Entire home",
"Sea Yo Villa - 2-Bedroom Villa - Hikkaduwa","4","Entire villa","5"
"Dream Garden - Deluxe double AC studio w/ bedroom","2","Room in boutique hotel",
"Great Yeheni Villa - Room 1","2","Private room in rental unit","4.67"
"Birds Nest Rajagiriya","5","Entire condo","4.92"
"Villa Hilltop by yehansa wit unlimited fiber Wi-Fi","7","Entire home","4.63"
"Casa Mira - Upstairs Apartment","2","Entire home",
"Canterbury Lexus Golf Apartments","4","Entire rental unit",
"Brand new double room with A/C","3","Private room in bungalow",
"Aqua Exotica - River View Chalet","2","Room in hotel",
"South House - Weligama","2","Private room in bed and breakfast","5"
"beautifuly designed house","2","Private room in home",
"Villa Sunrise, room 1 with beach access","3","Private room in villa",
"C1 Hostel - Private Twin Room","2","Private room in hostel","5"
"Camellia Rise","9","Entire villa","4.67"
"Charming Garden Villa near Beach","4","Entire villa","4.82"
"Galle Vacation F1 ( hot water shower )","2","Private room in home",
"Zodiak guest house 4","2","Room in hotel",
"Bright Home Stay","4","Entire guesthouse",
"Escape to Balapitiya | Villa Tranquilo + Boat ride","6","Entire home",
"Coconut Room Aircon with Jungle View","2","Private room in rental unit",
"Villa Morawala, Negombo","2","Private room in home",
"Araliya New","4","Entire rental unit",
"Oven's home stay – upstairs apt","2","Entire rental unit","4.71"
"Chambre familiale proche du jardin botanique","4","Private room in bed and breakfast",
"Beach furnished private apartment","2","Entire rental unit","4.71"
"King Room with Mountain View","2","Private room in bed and breakfast","4.57"
"Bora Bora Amore Villa","6","Entire villa","4.67"
"Lake View,Two Double bedrooms # kitchen#A/c ,wifi","4","Entire rental unit","5"
"BeachBay Villa","4","Entire home",
"On320 Two BR Full Apartment","4","Entire rental unit",
"Nelma's Cosy Luxury Home. Centrally Located","6","Entire rental unit",
"Monkey Camp - Hanuman Bungalow - Dushy","4","Private room","4.64"
"Moorthy villa guest house","8","Entire home",
"Budget Double room","2","Private room in villa","4.5"
"The Triple Room with City View","3","Private room in bed and breakfast",
"Akane Quad BB","4","Room in boutique hotel","4.8"
"The Lair Kandy","2","Private room in home",
"Condo in the heart of Colombo with all amenities","4","Entire condo",
"Samadhi Earth Home","2","Earthen home",
"Ocean Breeze Negombo Aparthotel","2","Entire rental unit",
"Alai Mullaitivu","2","Room in hotel",
"Dreams Garden Midigama - (3 Bedrooms Apartment)","6","Entire home","4.95"
"Villa 105B – Elephant Room","2","Private room in guesthouse",
"Appartment Elixia 3cs-Colombo,Malabe","4","Entire rental unit",
"Saranja Holiday house","6","Entire home","5"
"Glamping Safari Tent near Yala National Park","2","Tent",
"Villa Tranquilo - Balapitiya","6","Entire cottage",
"Kedalla","6","Entire home",
"Gal Oya Lake Club Luxury-Rose Tent","2","Tent",
"Mango Room with Air-con","2","Private room in rental unit","5"
"""The Aganuwara"" by Swarg","6","Entire rental unit","5"
"Seacoast Sanctuary Beach Hotel - Triple room","3","Room in hotel","4.67"
"Tree house with mountain view","2","Treehouse","4"
"Sea view Tree House - Hiriketiya","2","Private room in cabin",
"Dune Towers - family suite, bath, 2xterrace","4","Room in boutique hotel",
"Colombo 9 - 3BR Fully furnished Apartment","6","Entire condo","4.67"
"New Walawwa Villa Ahangama","4","Entire home",
"Star Gaze Lodge","2","Private room in home",
"lovely room in amazing house","2","Private room in home",
"Nagenahira Beach Villas - Garden view villa room","2","Room in boutique hotel","4"
"The Lotus - 15min away from Kandy City","4","Entire home","4.9"
"Ginganga Lodge (Ginger or Heliconia Room)","2","Private room in bed and breakfast",
"Fika House Galle","5","Entire home",
"Tea Plantation Bungalow In Galle","2","Tiny home",
"DK Green Villa,Madiha Surf Point","2","Tiny home",
"Deluxe Room @ Lion's Rest Weligama","4","Room in boutique hotel",
"Luxury Room 01 by Arsulana","2","Private room in nature lodge",
"Sweet Cinnamon, Kandy","2","Room in boutique hotel","5"
"Swarg Baththaramulla -3BDR/2BTH Ful/ Furnid Aptmnt","6","Entire serviced apartment",
"Chacha Villa - Cozy nook by the sea","4","Entire home","4.3"
"Go Outdoor Wilpattu Caravan Park","3","Private room in camper/rv",
"Casa Heliconia - Pagoda Suite","2","Private room",
"Orchid 2 Apartment","6","Entire rental unit",
"Deluxe  Double","2","Private room in villa",
"Orchid 2 Apartments","6","Entire rental unit",
"Venue Colombo- luxury city hotel","2","Private room in bed and breakfast","4.75"
"GS Nirbana River Suite Open Bath King Size Bed","3","Room in boutique hotel",
"2 Bedroom Delight! Come for a night, stay a week!","4","Entire rental unit","4.71"
"Bethel Rest Homestay / Deluxe Quadruple","4","Private room in bed and breakfast",
"ORA Luxury Villas Hikkaduwa","4","Entire home",
"The Courtyard Villa Sigiriya Entire Villa","7","Room in boutique hotel","4.71"
"Unrushed Midigama- Entire villa","9","Entire home",
"Bedroom B- in 3 Suite Boutique Hotel - The Summit","2","Room in boutique hotel",
"Superior Deluxe Room at Seerock The King's Domain","2","Private room in resort",
"White Water Rafting & Accommodation - BB","16","Private room in tent","4.47"
"The Grace Beach House","6","Entire villa","4.83"
"Misthill Rest - Deluxe Triple Room - Nuwaraeliya","3","Room in boutique hotel",
"Villa Kumbuk by Arsulana","2","Tiny home",
"River splendor Deluxe Family","4","Private room in bed and breakfast",
"Lovely 2 Bedroom apartment with luxury facilities","4","Entire condo",
"Your green adventure starts here","16","Room in hotel",
"Villa Fiorí~Twin Deluxe Rooms (12% Discount)","4","Private room in villa",
"Green Park  house  5 AC Rooms.","10","Entire home",
"Beautiful Seaview double room","2","Private room in guesthouse",
"Luxury Aircon 2 or 3 bedrooms Condo in Colombo","6","Entire condo","4.4"
"Stylish bungalow in the heart of Bird Sanctuary","2","Private room in bed and breakfast","4.67"
"Paradise Residence Hanthana","9","Entire villa",
"Luxury Beach Villa in Talpe | Violet's Beach House","7","Entire villa",
"Treasure apartment Colombo","6","Entire condo","4.8"
"Galawatta Beach Villa","9","Entire condo","4.44"
"Deluxe Triple room with balcony and mountain view.","3","Private room in villa",
"Aminva BoutiqueVilla~ 30% Discount -FULL Property","10","Entire villa","4.77"
"Edmon Beach Villa","6","Entire home",
"Ninety-Nine Apartments","4","Entire vacation home",
"Riverine Cascade","6","Entire home","4.86"
"A Peaceful Hideout","2","Entire vacation home",
"Comfy stay to be one with Nature","2","Dome",
"""Beach Haven Nilaveli""  a home away from home","6","Entire condo","5"
"Unrushed Ahangama- Courtyard facing Double Bedroom","2","Private room in villa",
"Grand Beragala Boutique Resort","3","Room in hotel",
"Unrushed Ahangama- Courtyard facing Double Bedroom","2","Private room in villa",
"Dennislandvilla-Araliya","4","Entire rental unit","5"
"Heaven on Earth - Sea View","6","Entire rental unit",
"Mandala Villas 3","2","Entire villa",
"ABBA'S Mountain Villa","6","Entire villa","4.41"
"Cozy Deluxe Seaview Room | Pool | Beach","2","Room in hotel",
"Villa Aanya Hikkaduwa","6","Entire villa","4.88"
"Wonder 5A","5","Entire rental unit",
"Sea-view luxury room in Negombo","2","Private room in home",
"A Hidden Gem in the Tropical Paradise","6","Entire home","5"
"Fun-Ocean-Chill","2","Entire rental unit",
"Cabin 7000 feet - Nuwara eliya","8","Entire cabin",
"Deluxe Room @ Lion's Rest - Weligama","4","Room in boutique hotel",
"Charming Property with a Pool","2","Entire home",
"GOOD STORY ANITYA VILLA","6","Entire villa","4.75"
"Apartment near the Polhena beach","5","Entire rental unit",
"Yala Eco-Friendly Retreat in the Heart of Nature","2","Entire cabin",
"The Little House - Hiriketiya","2","Entire home",
"La HAVEN","2","Private room in bed and breakfast",
"Mandala Villas 2","2","Entire villa",
"Prince of Galle Hotel - Queen Suite - Room 1","2","Private room in home","4.75"
"Bungalow & swimming pool - Group","10","Entire home",
"Park lane Retreat
2 Bed Room","4","Entire rental unit",
"Studio cottage w/ pool access","2","Entire cottage",
"The Glade","2","Entire rental unit",
"Villa Sublime Standard King Room","2","Private room in bed and breakfast",
"Tropical Paradise","2","Entire vacation home",
"Villa Raffaello","6","Entire villa","4.74"
"Wadula Safari - Yala (Cottage Number 03)","3","Room in boutique hotel","4.86"
"Sea esta mountlaviniya","6","Entire villa",
"Eton villa","8","Entire villa","5"
"Artsy & Cozy Villa in Ahangama - Full House","4","Entire home",
"G09/ 3 Bedroom Luxury Apartment","6","Entire rental unit",
"Villa Four Seasons - Mirissa ( 4 bed rooms Villa)","8","Entire villa","5"
"Villa in spacious Eco Lodge, with lagoon frontage","5","Private room in nature lodge","4.55"
"Three bedroom luxury Villa.","6","Entire guesthouse",
"Central Retreat","6","Entire rental unit",
"Charming mountain cottage","4","Entire cottage","4.66"
"Treehouse deluxe","2","Treehouse","4.59"
"Hill House Villa Unawatuna Galle","10","Entire villa",
"Villa Upper Dickson - Room 3","2","Private room in villa",
